Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
LightGBM,0.7193905707978555,0.3055344546934346,0.7965766020653557,0.44166437899525474,0.827177123949327,0.4232049988651592
Hist Gradient Boosting,0.7180108798486282,0.30448406266882766,0.7972839156882161,0.44067399038273586,0.8269827637484416,0.4221616061185025
XGBoost,0.7204943235572374,0.30574674969955207,0.7917668694299053,0.44114285714285717,0.8264581543188863,0.42255599270909416
Random Forest,0.7203760643330179,0.30401982378854625,0.7810157023624275,0.43767093424234016,0.8211893457106182,0.41223631144141704
Logistic Regression,0.7315121412803532,0.3107491480390458,0.7610694581977648,0.441309162496924,0.8196313557268607,0.3925853971949069
Decision Tree,0.7028145695364238,0.2905486688634343,0.785825434997878,0.4242401099740339,0.8148302176962214,0.4000737016231487
Extra Trees,0.703464995269631,0.2898397976391231,0.778044985146414,0.4223459397197159,0.8096908189564378,0.3935352384133863
