Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
XGBoost,0.7517504774029281,0.730714378322313,0.7972839156882161,0.7625490461371939,0.8309824876350174,0.8059932079623355
LightGBM,0.7526699200792135,0.7308686659772492,0.7998302447305136,0.7637960148598446,0.8302495526516458,0.8039078872421871
Gradient Boosting,0.7531650045972134,0.732372419166342,0.7978497665865044,0.7637102234258633,0.8302409388322783,0.8043896963630481
Random Forest,0.7496286866115001,0.7281189398836457,0.7967180647899279,0.7608754390705215,0.8283161954010407,0.8021150850478098
Extra Trees,0.7470825376617866,0.7260256244338036,0.7936058848493422,0.7583130575831306,0.8233675411677538,0.7952180566929248
Logistic Regression,0.7458094631869298,0.7372013651877133,0.7638987126892064,0.7503126302626094,0.8232192154001083,0.7922247887576022
SVM,0.7503359502086427,0.7250985879659076,0.806337530060829,0.7635632953784327,0.8190650934624412,0.7786636242050584
Decision Tree,0.7399391753306457,0.7177150192554557,0.7909180930824727,0.7525405478161383,0.8153521771553507,0.7853173018467801
