Model,Brier_Score
LightGBM,0.17524189965351747
Hist Gradient Boosting,0.17547247031820487
XGBoost,0.17595899105072021
Random Forest,0.1763125705439642
Logistic Regression,0.17757786237307951
Decision Tree,0.18150802883066375
Extra Trees,0.18292231406460202
