Model,AUC_mean,AUC_std,AP_mean,AP_std
Logistic Regression,0.8196542879301473,0.002332968314084018,0.3924878998075495,0.00567144654997649
Decision Tree,0.8192539524165209,0.0024820321260016786,0.40768512329910095,0.006219494437841196
Random Forest,0.8215282824808743,0.002374244072811522,0.411788445708592,0.006034552924488818
Extra Trees,0.8100710641434475,0.0025041651769021718,0.39382966136621517,0.006088066422522981
Hist Gradient Boosting,0.8272185241097311,0.0023857678083852554,0.42363167271740104,0.006167735029281981
XGBoost,0.8269215964075404,0.0023937172776923796,0.4227614707951913,0.006224617784649237
LightGBM,0.827021303744028,0.002394254560983975,0.42286036401046245,0.006311971513644989
