Model,Youden_Threshold,F1_Threshold
Logistic Regression,0.13602780416672267,0.22672975777056864
Decision Tree,0.13368859565025148,0.23173580463785032
Random Forest,0.1272870554095927,0.22492988393155294
Extra Trees,0.1510477242209562,0.24117534457705192
Hist Gradient Boosting,0.14224031056022585,0.22297676328842111
XGBoost,0.1353011429309845,0.23475151062011718
LightGBM,0.1332851408906806,0.24290171477111336
