Model vs LR,ΔAUC,CI_lower,CI_upper,P_value
Decision Tree,-0.0005715414535739275,-0.002656755844552117,0.0014096314298038314,0.7052947052947053
Random Forest,0.0018465071581108185,0.00018236331944943286,0.0035466806884381,0.012987012987012988
Extra Trees,-0.009550024122885588,-0.011508684421043594,-0.007626939734575264,1.0
Hist Gradient Boosting,0.007522388354417945,0.006052457522841362,0.009090628503634051,0.000999000999000999
XGBoost,0.007339653749134437,0.005897023519368108,0.008764773034715276,0.000999000999000999
LightGBM,0.007523541819715179,0.006055169068017943,0.009010073037276476,0.000999000999000999
