Model vs LR,ΔAUC,CI_lower,CI_upper,P_value
Decision Tree,-0.007898349082205552,-0.011111418415041855,-0.004488130728295204,1.0
Random Forest,0.005129130576498579,0.0028780588921385243,0.007344858835669872,0.000999000999000999
Extra Trees,0.0001495350054279947,-0.0024960419226479763,0.0027218070506530075,0.45754245754245754
Gradient Boosting,0.007027504204856183,0.0049662025198128346,0.009108936296829873,0.000999000999000999
SVM,-0.004177275526104885,-0.006897302474775349,-0.0014820070428235028,0.998001998001998
XGBoost,0.007810659921540136,0.0059465851948309525,0.009729772298409795,0.000999000999000999
LightGBM,0.007011854770113598,0.004898580001516861,0.009236689480725768,0.000999000999000999
