Model,Youden_Threshold,F1_Threshold
Logistic Regression,0.4644794316555614,0.3698127979718111
Decision Tree,0.4375,0.41596638655462187
Random Forest,0.48815477599227936,0.3988390177834907
Extra Trees,0.5008728902516716,0.41602086576434466
Gradient Boosting,0.4820181075056381,0.3623986463202936
SVM,0.45575950781228336,0.3053257577338683
XGBoost,0.4818763732910156,0.3717501163482666
LightGBM,0.5107163939516102,0.3984676518125945
