Model,Brier_Score
XGBoost,0.1664484292268753
LightGBM,0.1667784918318456
Gradient Boosting,0.1668166382534113
Random Forest,0.16832166458878745
Extra Trees,0.17052805230244586
Logistic Regression,0.17070910509156137
SVM,0.17189589554014892
Decision Tree,0.17422645672181333
